Property Name,Portfolio Manager ID,State/Province,Postal Code,Country,Year Built,Gross Floor Area
CA0083ZZ-HISTORIC SACRAMENTO FB,1279948,California,95818,United States,1973,189904
CA0088ZZ - J.WEINBERGER COURTHOUSE,1283247,California,92101,United States,1913,73179
CA0093ZZ - FEDERAL OFFICE BLDG,600,California,94102,United States,1935,535214
CA0149ZZ - LOS ANGELES FED BLDG,1283248,California,90014,United States,1955,71535
CA0152ZZ - JE MOSS FED BLDG CRTHSE,1283259,California,95814,United States,1961,361129
CA0154ZZ - P BURTON FED BLDG CTHSE,1279464,California,94102,United States,1964,1427968
CA0167ZZ - EJ SCHWART FED BLG CRTHSE,2629925,California,921018897,United States,1976,895249
CA0168ZZ - WEST LOS ANGELES FED BLDG,1278834,California,90024,United States,1969,587586
CA0185ZZ-SSA BLDG-MENTOR STREET,1279333,California,91104,United States,1985,13200
CA0186ZZ - SOCIAL SECURITY BLDG,2629926,California,93277,United States,1977,11977
CA0194ZZ-SSA BLDG-RUGBY AVE,1279949,California,90255,United States,1985,23538
CA0198ZZ-JC CORMAN FEDERAL BLDG,1283349,California,91401,United States,1985,230893
CA0200ZZ - SANTA ANA FED BLDG,1283468,California,92701,United States,1975,280365
CA0221ZZ - JOHN F SHEA FED BLDG,1279481,California,95404,United States,1975,77839
CA0224ZZ - HAWTHORNE FED BLDG,1278861,California,90250,United States,1971,216104
CA0235ZZ - LJ RYAN FED RECORDS CNTR,1283371,California,94066,United States,1972,233987
CA0260ZZ - RF PECKHAM FED BLDG CTHSE,1283238,California,95113,United States,1982,269340
CA0272ZZ - PARKING GARAGE,2629927,California,900253456,United States,1982,192192
CA0273ZZ - GLENN M ANDERSON FB,1283287,California,90802,United States,1989,306260
CA0281ZZ - RV DELLUMS FED BLDG,1279478,California,94612,United States,1993,1101444
CA0295ZZ - RONALD REAGAN FED BLDG,1177145,California,927014500,United States,1999,672747
CA0305ZZ - NEW SAN FRANCISCO FB,2629928,California,941031516,United States,2007,652433
CA0306ZZ - RT MATSUI COURTHOUSE,1279839,California,95814,United States,1999,773986
CA0309ZZ - RE COYLE FED BLDG CTHSE,1283275,California,93721,United States,2005,495913
CA0315ZZ - SEIZED VEHICLE FACILITY,1567868,California,92101,United States,1984,60250
CA0316ZZ - SAN DIEGO FED COURTHSE,3478838,California,92101,United States,2012,480941
CA0363ZZ - BAKERSFIELD US COURTHOUSE,3264359,California,93303,United States,1900,35468
CA6764ZZ - PARKWAY CENTRE,2998918,California,94501,United States,1985,63595
CA9551RR - PASADENA FED CRT HSE,2999299,California,91105,United States,1931,0
CO0000AA - DENVER FEDERAL CENTER,2280735,Colorado,80225,United States,1941,4368913
CO0000XX - DFC NON GOAL TRACKED,2999300,Colorado,80225,United States,1900,0
CO0006ZZ - NEW CUSTOMS HOUSE,2280737,Colorado,80202,United States,1931,278252
CO0009ZZ - BYRON WHITE US COURTHOUSE,2280739,Colorado,80202,United States,1916,269946
CO0018ZZ - WAYNE ASPINALL FED BLDG,2629929,Colorado,81501,United States,1918,41564
CO0039ZZ - BYRON ROGERS FED BLDG CTH,2280741,Colorado,80294,United States,1965,790943
CO0046ZZ - FORT COLLINS FED BLDG PO,2487774,Colorado,80521,United States,1972,83110
CO0050ZZ - CALIFORNIA FED GARAGE BDG,2280901,Colorado,80205,United States,1937,19487
CO0051ZZ - WELTON ST FED GARAGE BLDG,2280800,Colorado,80205,United States,1947,12492
CO0053ZZ - GSA PARKING LOT,2629930,Colorado,802052064,United States,1960,0
CO0054ZZ - CESAR CHAVEZ FED BLDG,2280903,Colorado,80204,United States,1984,313265
CO0061ZZ - ALFRED ARRAJ COURTHOUSE,2629931,Colorado,802942500,United States,2002,326686
CO0501AA - Bldg 1,3205465,Colorado,80225,United States,1941,5407
CO0511AA - Bldg 20,3210202,Colorado,80225,United States,1941,418099
CO0514AA - Bldg 25,3222498,Colorado,80225,United States,1941,402595
CO0515AA - Bldg 40,3237239,Colorado,80225,United States,1941,50092
CO0516AA - Bldg 41,3237241,Colorado,80225,United States,1941,496978
CO0518AA - Bldg 44,3237243,Colorado,80225,United States,1941,9381
CO0519AA - Bldg 45,3237245,Colorado,80225,United States,1941,78407
CO0520AA - Bldg 46,3237247,Colorado,80225,United States,1941,21318
CO0522AA - Bldg 48,3222511,Colorado,80225,United States,1941,150994
CO0527AA - Bldg 50,3237249,Colorado,80225,United States,1977,132830
CO0529AA - Bldg 52,3237251,Colorado,80225,United States,1941,11427
CO0530AA - Bldg 53,3237253,Colorado,80225,United States,1941,387363
CO0531AA - Bldg 54,3237255,Colorado,80225,United States,1941,3541
CO0532AA - Bldg 55,3237257,Colorado,80225,United States,1941,14050
CO0533AA - Bldg 56,3237259,Colorado,80225,United States,1941,354441
CO0543AA - Bldg 75,3237261,Colorado,80225,United States,1944,6840
CO0576AA - Bldg 85,3237263,Colorado,80225,United States,1975,87911
CO0624AA - Bldg 810,3237265,Colorado,80225,United States,1965,680670
CO0625AA - Bldg 15,3209167,Colorado,80225,United States,1966,27749
CO0626AA - Bldg 16,3210163,Colorado,80225,United States,1966,38159
CO0627AA - Bldg 67,3237267,Colorado,80225,United States,1967,372086
CO0631AA - Bldg 710,3237269,Colorado,80225,United States,1963,35845
CO0644AA/CO0662AA - Day Care and Infant Toddler Center,3237271,Colorado,80225,United States,1973,9803
CO0651AA - Bldg 1A,3206172,Colorado,80225,United States,1986,5220
CO0652AA - Bldg 21B,3688460,Colorado,80225,United States,1986,5906
CO0654AA - Bldg 710A,3237273,Colorado,80225,United States,1985,55599
CO0657AA - Bldg 720,3237275,Colorado,80225,United States,1985,17410
CO0659AA - Bldg 95,3222578,Colorado,80225,United States,1999,112747
CO0660AA - Bldg 94,3222552,Colorado,80225,United States,1992,21191
CO0661AA - Bldg 74A,3222517,Colorado,80225,United States,1991,2610
CO0663AA - Bldg 85A,3237279,Colorado,80225,United States,2002,15417
CT0013ZZ - W.R COTTER FED BLDG,902,Connecticut,06103,United States,1933,183507
CT0024ZZ - NEW HAVEN COURTHOUSE,903,Connecticut,06510,United States,1919,142659
CT0053ZZ - AA RIBICOFF FB &CTHS,904,Connecticut,06103,United States,1963,360959
CT0059ZZ - BRIEN MCMAHON FB&CTH,905,Connecticut,06604,United States,1967,130925
CT0060ZZ - SSA TORRINGTON,906,Connecticut,06790,United States,1969,5683
CT0061ZZ - RN GIAIMO FED BLDG,907,Connecticut,06510,United States,1977,176062
"DC0000AB - EPA EAST, WEST, CW",2629932,District of Columbia (D.C.),20004,United States,1934,1213119
DC0000AC - NAVY HILL COMPLEX,2629933,District of Columbia (D.C.),200372851,United States,1904,251650
DC0000BE - POT ANX 1,2999301,District of Columbia (D.C.),20372,United States,1900,0
DC0000NA - NEBRASKA AVE COMPLEX,2999302,District of Columbia (D.C.),20016,United States,1942,567321
DC0000SE - ST ELIZABETH WEST CAMPUS,2629934,District of Columbia (D.C.),200362601,United States,2006,0
DC0001ZZ - CENTRAL HTG PLNT STM,2629935,District of Columbia (D.C.),204070001,United States,1933,271965
DC0007ZZ - VETERANS ADMINISTRAT,1670098,District of Columbia (D.C.),20420,United States,1919,684711
DC0010ZZ - LYNDON B JOHNSON BLD,1675799,District of Columbia (D.C.),20202,United States,1959,607259
DC0014PB - E B PRETTYMAN COURTH,913,District of Columbia (D.C.),20001,United States,1952,602536
DC0017ZZ - WHITE HOUSE,2629937,District of Columbia (D.C.),200050003,United States,1902,28200
DC0021ZZ-GSA ADMIN BLDG,2629938,District of Columbia (D.C.),20405,United States,1917,813649
DC0026ZZ - LAFAYETTE BUILDING,1670156,District of Columbia (D.C.),20009,United States,1940,684488
DC0027ZZ-REMOTE DELIVERY FACILITY,2999303,District of Columbia (D.C.),20373,United States,2010,109993
DC0028ZZ - ARIEL RIOS FED BLDG,1671354,District of Columbia (D.C.),20004,United States,1934,885811
DC0029ZZ - POST OFFICE OLD,1671362,District of Columbia (D.C.),20001,United States,1899,392082
DC0030ZZ-NATIONAL BLDG MUSEUM,1635653,District of Columbia (D.C.),20001,United States,1985,260226
DC0031ZZ - ROB,1212177,District of Columbia (D.C.),20407,United States,1932,920264
DC0033ZZ - MARY E SWITZER BLDG,920,District of Columbia (D.C.),20230,United States,1940,600921
DC0034ZZ - WILBUR J COHEN BLDG,1675956,District of Columbia (D.C.),20201,United States,1940,1176918
DC0035ZZ-EISENHOWER EXC BLDG,1671499,District of Columbia (D.C.),20506,United States,1973,697307
DC0048ZZ - WINDER,2629939,District of Columbia (D.C.),200064801,United States,1854,81093
DC0053ZZ - 49 L  ST WAREHOUSE,1669745,District of Columbia (D.C.),20003,United States,1924,37535
DC0078ZZ - CIVIL SERVICE BLDG,2629940,District of Columbia (D.C.),200060001,United States,1920,53580
DC0083ZZ - ORVILLE WRIGHT BLDG,1675972,District of Columbia (D.C.),20591,United States,1963,1114224
DC0084ZZ-WILBER WRIGHT BLDG,1676024,District of Columbia (D.C.),20003,United States,1973,421319
DC0086ZZ - FOB 8,1669798,District of Columbia (D.C.),20024,United States,1965,390829
DC0094ZZ - MARKEY NATIONAL CT,1687185,District of Columbia (D.C.),20005,United States,1967,198451
DC0105ZZ - NEW EXECUTIVE OFFICE,1671513,District of Columbia (D.C.),20006,United States,1966,409266
DC0111ZZ - DOLLEY MADISON HOUSE,1687187,District of Columbia (D.C.),20005,United States,1820,15158
DC0112ZZ - TAYLOE HOUSE,1687191,District of Columbia (D.C.),20005,United States,1828,12553
DC0113ZZ - COSMOS CLUB BLDG,1687196,District of Columbia (D.C.),20005,United States,1928,14972
DC0114ZZ - TAX COURT,1687199,District of Columbia (D.C.),20217,United States,1974,229922
DC0313ZZ - JUDICIARY SQUARE,1687200,District of Columbia (D.C.),20001,United States,1984,128706
DC0321ZZ - JUDICIARY CENTER,2999304,District of Columbia (D.C.),20001,United States,2002,335372
DC0400ZZ-DIST HEATING TUNNELS,4005570,District of Columbia (D.C.),20003,United States,2014,240240
DC0459AF - REAGAN BLDG FOB,2629941,District of Columbia (D.C.),200023002,United States,1996,3360676
"DC0463ZZ - 601 - 4TH ST, NW",2629942,District of Columbia (D.C.),200372605,United States,1997,387591
DC0501BC - SIDNEY YATES,1687203,District of Columbia (D.C.),20002,United States,1879,159329
DC0505ZZ - US SECRET SERV HDQTR,1671392,District of Columbia (D.C.),20001,United States,1999,692023
DC0566ZZ - ATF HEADQUARTERS,1671430,District of Columbia (D.C.),20548,United States,1900,301662
DC0573PB - WILLIAM BRYANT ANNEX,1687207,District of Columbia (D.C.),20001,United States,1952,395987
DC0720ZZ-USSS,4185087,District of Columbia (D.C.),20002,United States,2012,27000
DE0016ZZ - JC BOGGS FED BLD & CTHSE,2474693,Delaware,19801,United States,1973,202615
FL0000AC - ROGERS FED BLDG COURTHSE,2341837,Florida,33401,United States,1972,176451
FL0000AD - DW DYER FED BLDG & CRTHSE,2341424,Florida,33128,United States,1933,365765
FL0000AE - TIMBERLAKE FB ANNEX,2629944,Florida,336023949,United States,1989,306402
FL0002AE - TIMBERLAKE FED ANNEX,1867227,Florida,33062,United States,1988,129502
FL0004ZZ - TALLAHASSEE CT ANNEX,2629945,Florida,323017736,United States,2000,169758
FL0009ZZ - FT MEYERS FB & CTHSE,1867886,Florida,33901,United States,1998,163365
FL0010ZZ - WD FERGUSON COURTHOUSE,2339944,Florida,33128,United States,2007,546513
FL0012ZZ - GIBBONS US COURTHOUSE,2629946,Florida,336023849,United States,1998,432178
FL0017ZZ - SIMPSON US COURTHOUSE,2629947,Florida,322024298,United States,2002,491710
FL0019ZZ - ARONOVITZ COURTHSE-PO-CU,2341905,Florida,33040,United States,1931,54725
FL0025ZZ - ORLANDO COURTHOUSE ANNEX,2629948,Florida,328010401,United States,2007,474551
FL0030ZZ - FT PIERCE FB COURTHOUSE,3264360,Florida,34950,United States,2011,146606
FL0033ZZ-DEPT OF JUSTICE,4428014,Florida,33027,United States,2015,606121
FL0039ZZ - WE ARNOW US COURTHOUSE,2629949,Florida,325024839,United States,1939,59872
FL0049ZZ - TALLAHASSEE US COURTHOUSE,2629950,Florida,323017750,United States,1937,46521
FL0057ZZ - GOLDEN-COLLUM FED BLD CTH,2629951,Florida,344756603,United States,1961,68942
FL0061ZZ - PEPPER FEDERAL BUILDING,2341092,Florida,33130,United States,1964,292346
FL0064AE - R L TIMBERLAKE JR FB,1867295,Florida,33602,United States,1964,114730
FL0065ZZ - GAINESVILLE FED BLD CHTHS,1877042,Florida,32801,United States,1964,105697
FL0067ZZ - BENNETT FEDERAL BLDG,2629952,Florida,32202,United States,1967,334196
FL0079ZZ - BRICKELL PLAZA FED BLDG,2341492,Florida,33131,United States,1971,263155
FL0082ZZ - YOUNG FED BLDG & CTHSE,2999305,Florida,32801,United States,1975,208647
FL0089ZZ - FT LAUDERDALE FB &&CT,2342009,Florida,33301,United States,1978,225233
FL1021ZZ - KING FED JUSTICE BLG,2341538,Florida,33101,United States,1993,318467
FL2245ZZ - PENSACOLA COURTHOUSE (LEASED),1877094,Florida,32502,United States,1999,92748
GA0000AB - THOMASVILLE FED CENTER,2629953,Georgia,314944410,United States,1994,105661
GA0000AC - JULIETTE G LOW FED BLDG,2629954,Georgia,314013604,United States,1985,282321
GA0005ZZ - ATHENS COURTHOUSE & PO,2629956,Georgia,306014747,United States,1942,42856
GA0007ZZ - ML KING JR FEDERAL BLDG,2629957,Georgia,303033458,United States,1934,361331
GA0008ZZ - US COURT OF APPEALS,2629958,Georgia,303032289,United States,1910,202069
GA0009ZZ - AUGUSTA US COURTHOUSE,2629959,Georgia,309030000,United States,1916,57472
GA0010AE - CHAMBLEE TUCKER ANNEX,1923066,Georgia,30341,United States,1999,417149
GA0012ZZ-KING US COURTHOUSE,2629960,Georgia,31702,United States,2002,82448
GA0025ZZ - COLUMBUS PO & CRTHSE,2629961,Georgia,319020000,United States,1934,60002
GA0030ZZ - EP TUTTLE US COURTHOUSE,2629962,Georgia,303030000,United States,2010,0
GA0036ZZ - ROWLAND FED BLDG & CTHSE,2629963,Georgia,310216799,United States,1937,32149
GA0044ZZ - GAINSVILLE FED BLDG CTHSE,986,Georgia,30501,United States,1910,51774
GA0057ZZ - BOOTLE FED BLDG & CTHSE,2629964,Georgia,312023385,United States,1896,90398
GA0076ZZ - SAVANNAH CUSTOMHOUSE,2629965,Georgia,31402,United States,1852,29403
GA0078ZZ - TOMOCHICHI FED BLDG CTHSE,2629966,Georgia,314023749,United States,1899,124080
GA0087AD - PEACHTREE SUMMIT FED BLDG,2629955,Georgia,30308,United States,1975,866217
GA0103ZZ - SCARLETT FED BLDG,2629967,Georgia,315207073,United States,1959,64531
GA0112ZZ - THOMASVILLE FED BLD-PO-CT,992,Georgia,31792,United States,1963,52555
GA0114ZZ - PH PRESTON FEDERAL BLDG,2629968,Georgia,304581302,United States,1963,32958
GA0118ZZ - ROME FED BLDG-PO-CTHSE,995,Georgia,30161,United States,1974,96116
GA0121ZZ - R RUSSELL FED BLDG CTHSE,7371,Georgia,30303,United States,1979,1214280
GA0125ZZ - MORGAN FED BLDG CTHSE PO,2629969,Georgia,302632602,United States,1968,53569
GA0134ZZ - VALDOSTA FED BLD CTHSE PO,2629970,Georgia,316014627,United States,1969,97227
GA0138ZZ - STEPHENS FED BLDG,2629971,Georgia,306014743,United States,1974,85045
GA1007ZZ - SAM NUNN ATLANTA FED CTR,13304,Georgia,30303,United States,1997,1924567
GA2243ZZ - CEDAR ST & POSTAL BL,3296550,Georgia,30117,United States,1900,0
GA2637ZZ - GNANN HOUSE,2629972,Georgia,317805466,United States,1925,2024
HI0001ZZ - HILO FED BLD USPO & CTHSE,1279896,Hawaii,96720,United States,1917,50333
HI0002ZZ - US CUSTOM WAREHOUSE,1279486,Hawaii,96720,United States,1941,5948
HI0011ZZ - PRINCE KUHIO FED BLDG CTH,1279367,Hawaii,96850,United States,1977,760106
IA0027ZZ - DAVENPORT U.S. COURTHOUSE,1375897,Iowa,52801,United States,1933,75086
IA0030ZZ - DES MOINES U.S. COURTHOUSE,1341310,Iowa,50309,United States,1929,97470
IA0087ZZ - SIOUX CITY CHFB,1341311,Iowa,51101,United States,1932,110805
IA0112ZZ - NEAL SMITH FEDERAL BLDG,1331382,Iowa,50309,United States,1967,405238
IA0119ZZ - IOWA CITY FBPO,1375893,Iowa,52240,United States,1974,98720
IA0121ZZ - CEDAR RAPIDS CTHS,4139239,Iowa,52401,United States,2012,306000
ID0000EB - USBS EASTPORT,2629975,Idaho,838269998,United States,1987,16144
ID0000PB - USBS PORTHILL,2629976,Idaho,838539998,United States,1967,18622
ID0025ZZ - MCCLURE FB-CTHS,20611,Idaho,83724,United States,1967,274412
ID0027ZZ - SSA LEWISTON,2629977,Idaho,835014004,United States,1972,8671
IL0000CF - CHICAGO FARC,2410780,Illinois,60629,United States,1973,185581
IL0000ES - MELVIN PRICE CTHOUSE,1165536,Illinois,62201,United States,1910,136132
IL0000FC - CHICAGO FEDERAL CTR,1608159,Illinois,60604,United States,1973,3177981
IL0032ZZ - CHICAGO CUSTOMHOUSE,1154581,Illinois,60607,United States,1932,279320
IL0054ZZ - CLARK FEDERAL BLDG,1608749,Illinois,60605,United States,1912,689733
IL0059ZZ - DANVILLE FB CTHSE,1165526,Illinois,61832,United States,1911,67845
IL0154ZZ - PEORIA FB CTHSE,1165544,Illinois,61601,United States,1938,118883
IL0173ZZ - FINDLEY FED BLDG,1165522,Illinois,62701,United States,1930,139164
IL0200ZZ - BENTON FB CTHSE,1165534,Illinois,62812,United States,1959,32761
IL0206ZZ - WL BEATTY FB & CTHSE,1165558,Illinois,62002,United States,1972,34159
IL0214ZZ - SSA DIST OFF BLDG,1736110,Illinois,62301,United States,1972,6073
IL0220ZZ - EAST ST LOUIS FB,1583504,Illinois,62201,United States,1966,33959
IL0222ZZ - MT VERNON FED BLDG,1165542,Illinois,62864,United States,1973,19578
IL0240ZZ - PAUL SIMON FED BLDG,1165516,Illinois,62901,United States,1978,39019
IL0300ZZ - GSA INTERAG MTR POOL,2629979,Illinois,606074300,United States,1973,1290
IL0302ZZ - URBANA FB  & CTHSE,1731745,Illinois,61801,United States,1994,51680
IL0303ZZ - METCALFE FED BLDG,1165562,Illinois,60604,United States,1991,840365
IL0311ZZ-ROSZKOWSKI FED CTHS,2999306,Illinois,61101,United States,2012,211320
IL0315ZZ-CONSUMER BUILDING,2629980,Illinois,60604,United States,2008,198400
IL0317ZZ - GSA BUILDING,2629981,Illinois,606043908,United States,1911,7535
IL0318ZZ-CENTURY BUILDING,2629982,Illinois,60604,United States,2006,67425
IL2125ZZ-11 West Quincy,2629983,Illinois,60604,United States,1985,120593
IL2477ZZ-NO NAME,4337847,Illinois,61607,United States,2011,2600
IN0000JF - GSA FED CTR,2629985,Indiana,471304278,United States,1952,23153
IN0031ZZ - E ROSS ADAIR FB CT,1165528,Indiana,46802,United States,1932,113586
IN0048ZZ - BIRCH BAYH FEDERAL BUILDING & U.S. COURTHOUSE,1165554,Indiana,46204,United States,1905,546469
IN0057ZZ - CHARLES A HALLECK FB,1165552,Indiana,47901,United States,1932,65061
IN0096ZZ - ROBERT GRANT FB CT,1165532,Indiana,46601,United States,1933,135972
IN0126ZZ - LEE HAMILTON FB CT,1165518,Indiana,47150,United States,1966,40762
IN0133ZZ - MINTON-CAPEHART FB,1559123,Indiana,46204,United States,1974,636046
IN0300ZZ - HAMMOND US CTHSE,1165574,Indiana,46320,United States,2002,295096
IN0621NH - DISPOSAL BUILDING,2999307,Indiana,46774,United States,1900,0
IN1703ZZ - EMMETT BEAN FED CTR,1154571,Indiana,46249,United States,1953,1659139
John Weld Peck Federal Building,3641424,Ohio,45202,United States,1962,791748
KS0070ZZ - WICHITA U.S. COURTHOUSE,1534769,Kansas,67201,United States,1932,174767
"KS0085ZZ - SSA KANSAS CITY, KS",1513380,Kansas,66101,United States,1972,14861
KS0092ZZ - FRANK CARLSON CHFB,1448874,Kansas,66683,United States,1977,325083
KS0094ZZ - ROBERT J DOLE U.S. COURTHOUSE,1530752,Kansas,66101,United States,1994,286446
KY0000AB - LONDON FB-CT,2629987,Kentucky,407411907,United States,2002,111023
KY0006ZZ - NATCHER FED BLD COURTHSE,2629988,Kentucky,421012141,United States,1913,32445
KY0013ZZ - COVINGTON COURTHOUSE,2629989,Kentucky,410110000,United States,1999,116919
KY0042ZZ - LEXINGTON COURTHOUSE,2629990,Kentucky,405071313,United States,1934,99221
KY0045ZZ - GENE SNYDER COURTHOUSE,1078,Kentucky,40202,United States,1932,404851
KY0058ZZ - OWENSBORO FED BLDG CTHSE,2629992,Kentucky,423013013,United States,1911,35693
KY0059ZZ - PADUCAH FED BLDG & CTHSE,1080,Kentucky,42001,United States,1938,57221
KY0062ZZ - PIKESVILLE PO & COURTHSE,2629993,Kentucky,415011144,United States,1932,26795
KY0086ZZ-MAZZOLI FEDERAL BLDG,2629994,Kentucky,40202,United States,1973,469770
KY0088ZZ-WATTS FEDERAL BLDG,1085,Kentucky,40601,United States,1985,61193
KY0089ZZ - CD PERKINS FED BLDG CTHSE,2629995,Kentucky,411017542,United States,1985,61712
LA0000BR - BLDG 74-WAREHOUSE 6,2629996,Louisiana,708155316,United States,1949,42312
LA0000BT - BATON ROUGE FB CTHSE,2629997,Louisiana,708011713,United States,1933,259737
LA0000NE - USBP COMPLEX NOLA,2629998,Louisiana,701141806,United States,1934,18226
LA0000NL - FSS DEPOT WAREHSE 2,2629999,Louisiana,701234230,United States,1943,208493
LA0002ZZ - ALEXANDRIA PO CTHS,1956276,Louisiana,71301,United States,1933,50362
LA0029ZZ - MONROE FB PO CTHS,1971761,Louisiana,71201,United States,1934,49148
LA0033ZZ - US CUSTOMHOUSE,2630000,Louisiana,701302329,United States,1881,380825
LA0034ZZ - F EDWARD HEBERT FB,1482486,Louisiana,70130,United States,1939,266523
LA0035ZZ - J M WISDOM USCT APLS,1490147,Louisiana,70130,United States,1915,214136
LA0070ZZ - ELLENDER FB USPO,1939542,Louisiana,70360,United States,1972,66087
LA0072ZZ - OPEN LAND FDA SITE,2630001,Louisiana,701303713,United States,1964,0
LA0085ZZ - HALE BOGGS FB CTHS,1488819,Louisiana,70130,United States,1976,656040
LA0098ZZ - SHREVEPORT CTHSE,1941770,Louisiana,71101,United States,1993,221985
